# $Id: h100.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain1 | dunno1 | dunno2 | dunno3|
#| r      | i    | i    | r   | r    | r         | r    | r |
 115.000  31868  25340  9.30  5.10   0.00075     9.35   0.03
 114.800  31849  25182  9.34  5.10   0.00067     9.37   0.20
 114.600  31823  25024  9.38  5.10   0.00060     9.42   0.10
 114.400  31785  24867  9.42  5.10   0.00058     9.67  -2.01
 114.200  31766  24709  9.46  5.10   0.00054     9.57  -0.85
 114.000  31746  24552  9.50  5.10   0.00054     9.54   0.09
 113.800  31727  24473  9.50  5.10   0.00056     9.53   0.18
 113.600  31701  24394  9.50  5.10   0.00064     9.54   0.00
 113.400  31680  24316  9.50  5.10   0.00074     9.54   0.05
 113.200  31654  24237  9.50  5.10   0.00087     9.54   0.00
 113.000  31633  24159  9.50  5.10   0.00112     9.68  -1.34
 112.800  31601  24080  9.50  5.10   0.00133     9.67  -1.26
 112.600  31583  24001  9.50  5.10   0.00152     9.53   0.18
 112.400  31560  23922  9.50  5.10   0.00184     9.55  -0.10
 112.200  31538  23843  9.50  5.10   0.00225     9.56  -0.13
 112.000  31510  23765  9.50  5.10   0.00259     9.55  -0.04
 111.800  31485  23633  9.50  5.10   0.00315     9.56  -0.12
 111.600  31467  23502  9.50  5.10   0.00365     9.53   0.16
 111.400  31439  23371  9.50  5.10   0.00457     9.53   0.22
 111.200  31415  23240  9.50  5.10   0.00533     9.54   0.10
 111.000  31380  23109  9.50  5.10   0.00660     9.55  -0.05
 110.800  31355  22977  9.50  5.10   0.00797     9.56  -0.06
 110.600  31328  22846  9.50  5.10   0.00932     9.54   0.14
 110.400  31304  22715  9.50  5.10   0.01121     9.54   0.07
 110.200  31282  22584  9.50  5.10   0.01269     9.53   0.23
 110.000  31258  22453  9.50  5.10   0.01507     9.56  -0.08
 110.000  31258  30851  9.50  5.10   0.01507     9.56  -0.08
 109.800  31235  30785  9.50  5.10   0.01640     9.53   0.19
 109.600  31201  30719  9.50  5.10   0.01859     9.53   0.22
 109.400  31175  30654  9.50  5.10   0.01944     9.53   0.17
 109.200  31141  30588  9.50  5.10   0.02144     9.54   0.09
 109.000  31119  30523  9.50  5.10   0.02116     9.53   0.20
 108.800  31090  30457  9.50  5.10   0.02302     9.56  -0.06
 108.600  31061  30391  9.50  5.10   0.02171     9.53   0.18
 108.400  31037  30326  9.50  5.10   0.02437     9.55   0.01
 108.200  31011  30260  9.50  5.10   0.02367     9.54   0.14
 108.000  30982  30195  9.50  5.10   0.02594     9.54   0.12
 107.800  30954  30116  9.50  5.10   0.02632     9.56  -0.07
 107.600  30926  30037  9.50  5.10   0.02748     9.53   0.18
 107.400  30896  29958  9.50  5.10   0.02686     9.54   0.12
 107.200  30866  29880  9.50  5.10   0.02834     9.53   0.23
 107.000  30836  29801  9.50  5.10   0.02660     9.55  -0.03
 106.800  30807  29722  9.50  5.10   0.02808     9.54   0.15
 106.600  30775  29644  9.50  5.10   0.02778     9.54   0.06
 106.400  30748  29565  9.50  5.10   0.02846     9.55   0.03
 106.200  30720  29486  9.50  5.10   0.02942     9.55   0.01
 106.000  30688  29408  9.50  5.10   0.02978     9.53   0.19
 105.800  30652  29355  9.50  5.09   0.03304     9.54   0.12
 105.600  30619  29303  9.50  5.08   0.03298     9.55  -0.00
 105.400  30583  29250  9.50  5.07   0.03545     9.54   0.17
 105.200  30551  29198  9.50  5.06   0.03614     9.54   0.14
 105.000  30519  29145  9.50  5.05   0.03797     9.55   0.00
 104.800  30486  29093  9.50  5.04   0.03804     9.55   0.03
