# h107.tab
# created 23sep2011 after rebuilding this osc
#   with 0.095 x .005 pinhead
# proper pinhead should be .090 x .003, but
#   this wasn't available
# power dip is at 89.3 GHz
# backshort tuning is very touchy around 87 GHz
# last column is pwr read with PacMmProducts detector, in mV
#
# $Id: h107.tab,v 1.5 2011/09/24 02:35:33 control Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain1 |
#| r      | i    | i    | r   | r    |
 115.000  32197  25537  9.50  5.0  13
 114.000  32131  24881  9.50  5.0  27
 113.000  32026  24224  9.50  5.0  71
 112.000  31973  23567  9.50  5.0  145
 111.000  31894  23042  9.50  5.0  235
 110.000  31868  22648  9.50  5.0  264
 109.000  31763  21991  9.50  5.0  360
 108.000  31671  21597  9.50  5.0  370
 107.000  31619  21203  9.50  5.0  372
 106.000  31514  20678  9.50  5.0  384
# discontinuity
 106.000  31514  29478  9.50  5.0  384
 105.000  31422  29215  9.50  5.0  416
 104.000  31356  28952  9.50  5.0  418
 103.000  31251  28558  9.50  5.0  483
 102.000  31172  28427  9.50  5.0  471
 101.000  31054  28164  9.50  5.0  500
 100.000  30962  27902  9.50  5.0  540
  99.000  30844  27639  9.50  5.0  637
  98.000  30712  27376  9.50  5.0  729
  97.000  30607  26982  9.50  5.0  740
  96.000  30489  26720  9.50  5.0  742
  95.000  30358  25537  9.50  5.0  665
  94.000  30226  24881  9.50  5.0  732
  93.000  30056  23567  9.50  5.0  845
  92.000  29898  20941  9.50  5.0  682
  91.000  29740  22254  9.50  5.0  395
  90.100  29543  24881  9.50  5.0  325
  90.000  29530  24881  9.50  5.0  350
  89.800  29478  24618  9.50  5.0  196
  89.600  29399  24487  9.50  5.0  123
  89.500  29386  24355  9.50  5.0  34
  89.400  29373  24224  9.50  5.0  26
  89.300  29360  23830  9.50  5.0  16
  89.200  29333  23699  9.50  5.0  48
  89.000  29281  23305  9.50  5.0  128
  88.500  29136  22254  9.50  5.0  372
  88.000  29023  20941  9.50  5.0  433
  87.600  28869  19900  9.50  5.0  636
  87.400  28830  19300  9.50  5.0  636
  87.300  28800  19200  9.50  5.0  636
  87.200  28790  19100  9.50  5.0  636
  87.000  28880  18200  9.50  5.0  636
  86.000  28624  17657  9.50  5.0  741
  85.000  28388  16344  9.50  5.0  482
  84.000  28086  15687  9.50  5.0  346
# discontinuity
  84.000  28072  22648  9.50  5.0  119
  83.000  27731  22254  9.50  5.0  318
  82.000  27350  21466  9.50  5.0  486
  81.000  26969  20678  9.50  5.0  645
  80.000  26470  19890  9.50  5.0  957
  79.000  26023  18576  9.50  5.0  1092
  78.000  25537  17657  9.50  5.0  1080
  77.000  25275  16606  9.50  5.0  801
  76.000  24736  15818  9.50  5.0  845
  75.000  24119  15030  9.50  5.0  739
  74.000  23292  14111  9.50  5.0  847
# discontinuity
  74.000  23292  30791  9.50  5.0  862
  73.000  22806  30266  9.50  5.0  1144
  72.000  21571  29872  9.50  5.0  144
  71.000  20415  29346  9.50  5.0  109
  70.000  19089  28952  9.50  5.0  106
  69.000  17394  28427  9.50  5.0  69
