# h141.osc
# this is a preliminary data set done without modulator; there are
#	some `holes' where phaselock is bad
# tested 13nov97 with pac mm products detector #50
# 06jan99 rp - all loop gains increased by 0.5
# $Id: h141.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  93.000  32354  28065   9.50   5.40    0.02138    9.53  -0.36
  92.900  32336  27953   9.50   5.40    0.02523    9.51  -0.16
  92.800  32325  27846   9.50   5.40    0.02961    9.51  -0.07
  92.700  32311  27749   9.50   5.40    0.03438    9.49   0.11
  92.600  32298  27641   9.50   5.40    0.03452    9.50  -0.02
  92.500  32290  27538   9.50   5.40    0.02989    9.51  -0.16
  92.400  32277  27461   9.50   5.40    0.02599    9.49   0.12
  92.300  32267  27379   9.50   5.40    0.02374    9.49   0.12
  92.200  32245  27309   9.50   5.40    0.02274    9.50  -0.03
  92.100  32227  27221   9.50   5.40    0.02478    9.52  -0.22
  92.000  32213  27145   9.50   5.40    0.03064    9.48   0.17
  91.900  32193  27098   9.50   5.40    0.03908    9.48   0.16
  91.800  32176  27041   9.50   5.40    0.04594    9.49   0.05
  91.700  32162  26992   9.50   5.40    0.04694    9.50  -0.02
  91.600  32149  26940   9.50   5.40    0.03899    9.52  -0.17
  91.500  32141  26880   9.50   5.40    0.03225    9.50   0.00
  91.400  32121  26803   9.50   5.40    0.03094    9.51  -0.11
  91.300  32106  26720   9.50   5.40    0.03172    9.50  -0.01
  91.200  32087  26644   9.50   5.40    0.03362    9.49   0.11
  91.100  32069  26565   9.50   5.40    0.03944    9.49   0.08
  91.000  32048  26489   9.50   5.40    0.04778    9.48   0.18
  90.900  32030  26435   9.50   5.40    0.05178    9.50  -0.08
  90.800  32018  26382   9.50   5.40    0.05114    9.50  -0.05
  90.700  32008  26326   9.50   5.40    0.04729    9.48   0.21
  90.600  31992  26278   9.50   5.40    0.04109    9.51  -0.13
  90.500  31977  26221   9.50   5.40    0.03886    9.50  -0.02
  90.400  31962  26170   9.50   5.40    0.04145    9.49   0.06
  90.300  31942  26122   9.50   5.40    0.04381    9.48   0.12
  90.200  31927  26072   9.50   5.40    0.04633    9.50   0.00
  90.100  31906  26014   9.50   5.40    0.05245    9.50  -0.07
  90.000  31883  25965   9.50   5.40    0.05576    9.51  -0.17
  89.900  31875  25856   9.50   5.40    0.05376    9.49   0.10
  89.800  31849  25751   9.50   5.40    0.05389    9.47   0.23
  89.700  31838  25658   9.50   5.40    0.05316    9.52  -0.20
  89.600  31827  25549   9.50   5.40    0.04893    9.50  -0.02
  89.500  31813  25450   9.50   5.40    0.04973    9.49   0.07
  89.400  31785  25358   9.50   5.40    0.05512    9.51  -0.14
  89.300  31772  25288   9.50   5.40    0.05479    9.49   0.07
  89.200  31756  25207   9.50   5.40    0.05325    9.50  -0.05
  89.100  31728  25119   9.50   5.40    0.05564    9.50  -0.07
  89.000  31716  25052   9.50   5.40    0.05582    9.49   0.08
  88.900  31702  24917   9.50   5.40    0.05532    9.48   0.13
  88.800  31671  24781   9.50   5.40    0.06014    9.48   0.17
