# $Id: hT1.tab,v 1.1 2006/11/30 12:17:45 colby Exp $
#
# special file for unit testing
#
#  freq   mmosc  mmbck    vop   lgain   pwr(mV)   errv
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  90.000  31979  26804   9.50  5.10    112.28   0.25
  89.900  31964  26791   9.50  5.10    119.61   0.05
  89.800  31944  26672   9.50  5.10    128.41  -0.31
  89.700  31938  26531   9.50  5.15    136.95  -0.09
  89.600  31910  26365   9.50  5.20    142.28   0.08
  89.500  31897  26147   9.50  5.20    145.26   0.10
  89.400  31882  25892   9.50  5.20    150.54  -0.15
  89.300  31868  25701   9.50  5.25    149.66   0.14
  89.200  31853  25442   9.50  5.30    148.82  -0.22
  89.100  31838  25181   9.50  5.30    144.88   0.26
  89.000  31839  24942   9.50  5.30    134.35   0.11
  88.900  31811  25117   9.50  5.34    126.57   0.07
  88.800  31798  25420   9.50  5.38    125.61  -0.08
  88.700  31781  25566   9.50  5.42    129.23   0.03
  88.600  31757  25532   9.50  5.46    138.48   0.20
  88.500  31734  25254   9.50  5.50    148.48   0.07
  88.400  31724  24930   9.50  5.50    153.91   0.34
  88.300  31699  24561   9.50  5.50    152.79   0.42
  88.200  31691  24473   9.50  5.50    142.45   0.83
  88.100  31674  24586   9.50  5.50    133.94   0.47
  88.000  31661  24836   9.50  5.50    137.84  -0.02
  87.900  31643  24879   9.50  5.50    145.07   0.11
  87.800  31621  24786   9.50  5.50    155.10  -0.17
  87.700  31595  24460   9.50  5.50    161.67   0.13
  87.600  31574  23965   9.50  5.50    165.96  -0.16
  87.500  31568  23652   9.50  5.50    161.05   0.46
  87.400  31554  23577   9.50  5.50    155.44  -0.05
  87.300  31531  23805   9.50  5.50    152.62  -0.16
  87.200  31518  23781   9.50  5.50    158.14  -0.06
  87.100  31490  23427   9.50  5.50    165.52   0.15
  87.000  31476  23244   9.50  5.50    168.02  -0.07
  86.900  31450  22906   9.50  5.50    167.00   0.07
  86.800  31444  22563   9.50  5.50    162.77   0.21
  86.700  31416  22348   9.50  5.50    160.14   0.32
  86.600  31402  22405   9.50  5.50    158.53   0.18
  86.500  31386  22374   9.50  5.50    158.44   0.22
  86.400  31360  22479   9.50  5.50    156.39   0.10
  86.300  31345  22564   9.50  5.50    157.94   0.19
  86.200  31322  22579   9.50  5.50    156.85   0.45
  86.100  31303  22971   9.50  5.50    155.54   0.17
  86.000  31281  23010   9.50  5.50    164.62   0.03
  85.900  31249  22759   9.50  5.50    172.71   0.31
  85.800  31229  22492   9.50  5.50    175.87   0.90
  85.700  31220  22308   9.50  5.50    179.41   1.79
  85.600  31197  22237   9.50  5.50    174.91   2.27
  85.500  31182  22110   9.50  5.50    170.02   2.30
  85.400  31166  22048   9.50  5.50    162.91   1.93
  85.300  31149  22017   9.50  5.50    155.55   0.91
  85.200  31134  21951   9.50  5.50    155.60   1.39
  85.100  31109  21834   9.50  5.50    157.17   1.48
  85.000  31086  21802   9.50  5.50    156.22   1.05
# -- discontinuity in mmbck -- #
  85.000  31086  31500   9.50  5.50    156.22   1.05
  84.900  31055  31516   9.50  5.50    173.86   0.21
  84.800  31025  31547   9.50  5.50    175.58   0.22
  84.700  31011  31667   9.50  5.50    177.58   0.05
  84.600  30982  31660   9.50  5.50    179.99   0.05
  84.500  30963  31603   9.50  5.50    179.33  -0.19
