# $Id: hT2.tab,v 1.1 2006/11/30 12:17:45 colby Exp $
#
# Special file for unit tests
#
#| lo  | osctarg | oscbcktarg | vop | lgain1 | dunno1 | dunno2 | dunno3|
#| r      | i    | i    | r   | r    | r         | r    | r |
 114.400  32647  25586   9.10   5.30    0.00058    9.28   0.13
 114.200  32615  25402   9.20   5.30    0.00064    9.41  -0.16
 114.000  32596  25219   9.20   5.30    0.00073    9.48   0.09
 113.800  32574  25035   9.40   5.30    0.00095    9.49   0.03
 113.600  32546  24851   9.50   5.30    0.00111    9.50  -0.07
 113.400  32525  24668   9.50   5.30    0.00139    9.47   0.17
 113.200  32498  24484   9.50   5.30    0.00178    9.71  -2.19
 113.000  32487  24301   9.50   5.30    0.00203    9.48   0.04
 112.800  32453  24117   9.50   5.30    0.00252    9.63  -1.37
 112.600  32431  23933   9.50   5.30    0.00286    9.50  -0.17
 112.400  32407  23749   9.50   5.30    0.00327    9.50  -0.11
 112.200  32379  23565   9.50   5.30    0.00373    9.49  -0.03
 112.000  32359  23382   9.50   5.30    0.00430    9.48   0.03
 111.800  32202  23303   9.50   5.30    0.00912    9.41  -0.24
 111.600  32305  23224   9.50   5.30    0.00670    9.69  -2.03
 111.400  32288  23145   9.50   5.30    0.00670    9.50  -0.10
 111.200  32263  23066   9.50   5.30    0.00836    9.50  -0.12
 111.000  32235  22988   9.70   5.30    0.00877    9.48   0.11
 110.800  32219  22909   9.70   5.30    0.01083    9.48   0.09
 110.600  32186  22830   9.70   5.30    0.01096    9.50  -0.14
 110.400  32165  22752   9.70   5.30    0.01340    9.49  -0.04
 110.200  32140  22673   9.70   5.30    0.01361    9.50  -0.06
 110.000  32110  22595   9.70   5.30    0.01506    9.47   0.21
 109.800  32084  22516   9.70   5.30    0.01521    9.50  -0.04
 109.600  32065  22437   9.70   5.30    0.01627    9.49   0.04
 109.200  32011  22280   9.70   5.30    0.01722    9.50  -0.06
 109.000  31979  22201   9.70   5.30    0.01501    9.48   0.17
 108.800  31955  22122   9.50   5.30    0.01640    9.48   0.17
 108.600  31928  22044   9.50   5.30    0.01415    9.50  -0.02
 108.400  31896  21965   9.50   5.30    0.01634    9.50  -0.00
 108.200  31875  21886   9.50   5.30    0.01433    9.48   0.20
 108.000  31842  21808   9.50   5.30    0.01592    9.50  -0.02
 107.800  31816  21703   9.50   5.30    0.01430    9.50   0.04
 107.600  31794  21598   9.50   5.30    0.01535    9.48   0.18
 107.400  31761  21493   9.50   5.30    0.01400    9.50   0.02
 107.200  31734  21388   9.50   5.30    0.01550    9.48   0.17
 107.000  31704  21283   9.50   5.30    0.01423    9.49   0.11
 106.800  31672  21178   9.50   5.30    0.01640    9.52  -0.14
 106.600  31644  21073   9.50   5.30    0.01462    9.49   0.09
 106.400  31615  20968   9.50   5.30    0.01645    9.50  -0.02
 106.200  31586  20863   9.50   5.30    0.01609    9.48   0.21
 106.000  31561  20758   9.50   5.30    0.01591    9.50   0.01
 105.800  31525  29523   9.50   5.30    0.01713    9.51  -0.03
 105.600  31503  29497   9.50   5.30    0.01648    9.49   0.16
 105.400  31471  29471   9.50   5.30    0.01704    9.51  -0.04
 105.200  31436  29444   9.50   5.30    0.01757    9.50   0.06
 105.000  31407  29418   9.50   5.30    0.01762    9.49   0.15
 104.800  31368  29392   9.50   5.30    0.01876    9.50   0.09
 104.600  31339  29365   9.50   5.30    0.01887    9.48   0.24
 104.400  31304  29339   9.50   5.30    0.02055    9.49   0.13
 104.200  31277  29313   9.50   5.30    0.02319    9.49   0.14
 104.000  31242  29287   9.50   5.30    0.02397    9.49   0.12
 103.800  31205  29234   9.50   5.30    0.02487    9.49   0.17
 103.600  31171  29182   9.50   5.30    0.02565    9.49   0.12
 103.400  31132  29129   9.50   5.30    0.02503    9.50   0.07
 103.200  31098  29077   9.50   5.30    0.02578    9.50   0.12
 103.000  31064  29024   9.50   5.30    0.02671    9.51   0.01
 102.800  31030  28972   9.50   5.30    0.02699    9.51   0.01
 102.600  30996  28919   9.50   5.30    0.02719    9.50   0.02
 102.400  30960  28867   9.50   5.30    0.02929    9.50   0.05
 102.200  30922  28814   9.50   5.30    0.03136    9.50   0.07
 102.000  30883  28762   9.50   5.30    0.03241    9.50   0.10
 101.800  30854  28709   9.50   5.30    0.03236    9.50   0.11
 101.600  30800  28657   9.50   5.30    0.03401    9.50   0.10
 101.400  30772  28604   9.50   5.30    0.03677    9.50   0.10
 101.200  30731  28552   9.50   5.30    0.03825    9.50   0.06
 101.000  30701  28499   9.50   5.30    0.03925    9.49   0.14
 100.800  30657  28447   9.50   5.30    0.04070    9.49   0.11
 100.600  30621  28394   9.50   5.30    0.04392    9.49   0.14
 100.400  30575  28342   9.50   5.30    0.04577    9.49   0.11
 100.200  30540  28289   9.50   5.30    0.04776    9.50   0.04
 100.000  30496  28237   9.50   5.30    0.05091    9.48   0.25
  99.800  30458  28158   9.50   5.30    0.05068    9.50   0.06
  99.600  30408  28079   9.50   5.30    0.05522    9.49   0.16
  99.400  30374  28000   9.50   5.30    0.05674    9.50   0.09
  99.200  30324  27922   9.50   5.30    0.05957    9.50   0.07
  99.000  30283  27843   9.50   5.30    0.06363    9.50   0.12
  98.800  30236  27764   9.50   5.30    0.06485    9.49   0.20
  98.600  30185  27686   9.50   5.30    0.06910    9.50   0.13
  98.400  30149  27607   9.50   5.30    0.07232    9.50   0.14
  98.200  30093  27528   9.50   5.30    0.07472    9.49   0.17
  98.000  30046  27450   9.50   5.30    0.08041    9.49   0.16
  97.800  30006  27371   9.50   5.30    0.07871    9.49   0.24
  97.600  29960  27292   9.50   5.30    0.08803    9.49   0.19
  97.400  29909  27214   9.50   5.30    0.08663    9.50   0.14
  97.000  29810  27056   9.50   5.30    0.09545    9.48   0.23
  96.800  29751  26977   9.50   5.30    0.09996    9.49   0.22
  96.600  29701  26899   9.50   5.30    0.10491    9.49   0.18
  96.400  29653  26820   9.50   5.30    0.11172    9.48   0.27
  96.200  29603  26741   9.50   5.30    0.11589    9.49   0.13
  96.000  29555  26663   9.50   5.30    0.12200    9.48   0.26
  95.800  29501  26610   9.50   5.30    0.12323    9.43   1.40
  95.600  29444  26558   9.50   5.30    0.12516    9.33   1.23
  95.400  29392  26505   9.50   5.30    0.13781    9.49   0.17
  95.200  29340  26453   9.50   5.30    0.14080    9.48   0.27
  95.000  29285  26400   9.50   5.30    0.14516    9.48   0.18
  94.800  29241  26348   9.50   5.30    0.14686    9.49   0.14
  94.600  29183  26295   9.50   5.30    0.14776    9.48   0.22
  94.400  29134  26243   9.50   5.30    0.14330    9.49   0.20
  94.200  29071  26190   9.50   5.30    0.14521    9.48   0.26
  94.000  29027  26138   9.50   5.30    0.13707    9.49   0.14
  93.800  28959  26059   9.50   5.30    0.14008    9.48   0.29
  93.600  28897  25980   9.50   5.30    0.14127    9.48   0.29
  93.400  28844  25901   9.50   5.30    0.13674    9.48   0.26
  93.200  28777  25822   9.50   5.30    0.14108    9.49   0.21
  93.000  28719  25744   9.50   5.30    0.13310    9.49   0.17
  92.800  28656  25665   9.50   5.30    0.13408    9.50   0.15
  92.600  28593  25586   9.50   5.30    0.12724    9.49   0.25
  92.400  28531  25507   9.50   5.30    0.13218    9.49   0.22
  92.200  28466  25428   9.50   5.30    0.12139    9.50   0.15
  92.000  28393  25350   9.50   5.30    0.12624    9.49   0.26
  91.800  28331  25179   9.50   5.30    0.13081    9.50   0.23
  91.600  28254  25009   9.50   5.30    0.13985    9.50   0.20
  91.400  28187  24838   9.50   5.30    0.14478    9.50   0.23
  91.200  28105  24668   9.50   5.30    0.15493    9.49   0.24
  91.000  28043  24497   9.50   5.30    0.15079    9.49   0.25
  90.800  27964  24327   9.50   5.30    0.15879    9.50   0.19
  90.600  27902  24156   9.50   5.30    0.15188    9.50   0.20
  90.400  27815  23986   9.50   5.30    0.16084    9.50   0.18
  90.200  27735  23815   9.50   5.30    0.15849    9.50   0.21
  90.000  27668  23645   9.50   5.30    0.15556    9.50   0.15
  89.800  27499  31242   9.50   5.30    0.24570    9.48   0.27
  89.600  27422  31098   9.50   5.30    0.24754    9.49   0.26
  89.400  27336  30954   9.50   5.30    0.24865    9.49   0.22
  89.200  27264  30809   9.50   5.30    0.25019    9.35   1.49
  89.000  27192  30665   9.50   5.30    0.25133    9.50   0.20
  88.800  27117  30520   9.50   5.30    0.25032    9.49   0.26
  88.600  27020  30376   9.50   5.30    0.25450    9.50   0.24
  88.400  26950  30232   9.50   5.30    0.25015    9.50   0.21
  88.200  26861  30087   9.50   5.30    0.25466    9.50   0.25
  88.000  26791  29943   9.50   5.30    0.24911    9.50   0.25
  87.800  26683  29602   9.50   5.30    0.25877    9.51   0.16
  87.600  26596  29261   9.50   5.30    0.25564    9.51   0.17
  87.400  26485  28920   9.50   5.30    0.26588    9.50   0.19
  87.200  26412  28578   9.50   5.30    0.26388    9.50   0.21
  87.000  26311  28237   9.50   5.30    0.26844    9.50   0.29
  86.800  26212  28027   9.50   5.30    0.27043    9.50   0.23
  86.600  26124  27817   9.50   5.30    0.27037    9.51   0.21
  86.400  26018  27608   9.50   5.30    0.27174    9.50   0.25
  86.200  25926  27398   9.50   5.30    0.27188    9.51   0.22
  86.000  25815  27188   9.50   5.30    0.27366    9.50   0.27
  85.800  25730  27083   9.50   5.30    0.27271    9.51   0.19
  85.600  25617  26978   9.50   5.30    0.27333    9.51   0.21
  85.400  25522  26873   9.50   5.30    0.27204    9.50   0.26
  85.200  25412  26768   9.50   5.30    0.27082    9.45   1.48
  85.000  25321  26663   9.50   5.30    0.26644    9.50   0.26
  84.800  25217  26689   9.50   5.30    0.26691    9.51   0.21
  84.600  25113  26715   9.50   5.30    0.26349    9.50   0.22
  84.400  25027  26741   9.50   5.30    0.25981    9.50   0.26
  84.200  24917  26767   9.50   5.30    0.24423    9.31   3.14
  84.000  24832  26793   9.50   5.30    0.24576    9.50   0.24
  83.800  24701  26767   9.50   5.30    0.25091    9.50   0.24
  83.600  24629  26741   9.50   5.30    0.23723    9.51   0.21
  83.400  24524  26715   9.50   5.30    0.23338    9.50   0.27
  83.200  24419  26689   9.50   5.30    0.22237    9.50   0.23
  83.000  24328  26663   9.50   5.30    0.21228    9.49   0.32
  82.800  24217  26663   9.50   5.30    0.19762    9.50   0.25
  82.600  24123  26663   9.50   5.30    0.17890    9.50   0.26
  82.400  24017  26663   9.50   5.30    0.16527    9.50   0.27
  82.200  23926  26663   9.50   5.30    0.14209    9.50   0.23
  82.000  23815  26663   9.50   5.30    0.12839    9.50   0.26
  81.800  23717  26715   9.50   5.30    0.10625    9.51   0.19
  81.601  23616  26767   9.50   5.30    0.08727    9.50   0.27
  81.401  23508  26820   9.50   5.30    0.06951    9.51   0.20
  81.201  23397  26872   9.50   5.30    0.04624    9.51   0.19
  81.001  23297  26924   9.50   5.30    0.03044    9.50   0.20
  80.801  23184  26872   9.50   5.30    0.01273    9.50   0.19
  80.601  23077  26820   9.50   5.30    0.00288    9.50   0.20
  80.401  22966  26767   9.50   5.30    0.00028    9.48   0.27
  80.201  22845  26715   9.50   5.30    0.00643    9.49   0.23
  80.001  22727  26663   9.50   5.20    0.02018    9.49   0.29
  79.801  22593  26610   9.50   5.20    0.03618    9.50   0.24
  79.601  22469  26557   9.50   5.20    0.05179    9.50   0.24
  79.401  22332  26452   9.50   5.20    0.06830    9.50   0.21
  79.201  22204  26295   9.50   5.20    0.08524    9.49   0.28
  79.001  22061  26138   9.50   5.20    0.09886    9.50   0.24
  78.801  21930  25980   9.50   5.20    0.10939    9.49   0.27
  78.601  21796  25823   9.50   5.20    0.12217    9.49   0.28
  78.401  21654  25665   9.50   5.20    0.12265    9.50   0.25
  78.201  21522  25508   9.50   5.20    0.13388    9.49   0.27
  78.001  21382  25240   9.50   5.20    0.12929    9.49   0.31
  77.801  21255  25193   9.50   5.20    0.13399    9.49   0.28
# adjusted mmbck below
  77.601  21125  24866   9.50   5.20    0.13435    9.50   0.27
  77.401  21000  24702   9.50   5.20    0.12591    9.50   0.25
  77.201  20884  24502   9.50   5.20    0.13002    9.49   0.26
  77.001  20764  24332   9.50   5.10    0.13542    9.50   0.25
# adjust mmbck above
  76.801  20657  24222   9.50   5.10    0.10740    9.45   1.64
  76.601  20549  24012   9.50   5.10    0.12040    9.49   0.28
  76.401  20436  23776   9.50   5.10    0.09655    9.50   0.21
  76.201  20336  23514   9.50   5.10    0.09111    9.49   0.32
  76.001  20233  23251   9.50   5.10    0.08299    9.49   0.29
  75.801  20081  23198   9.50   5.10    0.08692    9.50   0.27
  75.601  19920  23146   9.50   5.10    0.10276    9.50   0.26
  75.401  19760  23067   9.50   5.10    0.11582    9.50   0.27
# adjust mmbck below
  75.201  19607  22802   9.50   5.10    0.09167    9.50   0.22
  75.001  19418  22640   9.50   5.30    0.02052    9.45   1.64
  74.801  19355  22507   9.50   5.10    0.08797    9.49   0.30
  74.601  19232  22307   9.50   5.10    0.08206    9.49   0.26
  74.401  19118  22061   9.50   5.10    0.09819    9.50   0.22
  74.201  19023  21809   9.50   5.10    0.09412    9.50   0.22
  74.001  18939  21516   9.50   5.10    0.07666    9.49   0.25
  73.801  18822  21316   9.50   5.10    0.08199    9.50   0.24
  73.601  18704  21106   9.50   5.10    0.07601    9.49   0.30
  73.401  18626  20802   9.50   5.10    0.05994    9.49   0.32
  73.201  18525  20522   9.50   5.10    0.06014    9.49   0.29
  73.000  18384  20102   9.50   5.10    0.06453    9.51   0.21
# above
  72.801  18284  20154   9.50   5.10    0.04852    9.50   0.21
# below
  72.601  18091  20056   9.50   5.10    0.05536    9.54  -0.25
  72.200  17907  20151   9.50   5.10    0.05734    9.50   0.27
  72.000  17804  20214   9.50   5.10    0.05560    9.50   0.24
  71.800  17683  20506   9.50   5.00    0.06475    9.51   0.23
# above
  71.600  17563  20888   9.50   5.00    0.06062    9.51   0.20
  71.400  17436  20967   9.50   5.00    0.05215    9.51   0.18
  71.200  17318  20862   9.50   5.00    0.06656    9.50   0.27
  71.000  17192  20758   9.50   5.00    0.06314    9.51   0.22
  70.800  17068  20495   9.50   5.00    0.05561    9.51   0.26
  70.600  16946  20233   9.50   5.00    0.05784    9.51   0.25
  70.400  16824  20075   9.50   5.00    0.05443    9.50   0.30
  70.200  16706  20022   9.50   5.00    0.05818    9.51   0.25
  70.000  16588  19970   9.50   5.00    0.04933    9.51   0.27
  69.800  16460  19917   9.50   4.90    0.05195    9.51   0.25
  69.600  16338  19865   9.50   4.90    0.05435    9.51   0.20
  69.400  16215  19786   9.50   4.90    0.05346    9.51   0.26
  69.200  16088  19681   9.50   4.90    0.05027    9.50   0.26
  69.000  15955  19577   9.50   4.90    0.05579    9.51   0.26
  68.800  15814  19681   9.50   4.90    0.05989    9.51   0.25
  68.600  15687  19786   9.50   4.90    0.05578    9.51   0.24
  68.400  15566  19786   9.50   4.90    0.05350    9.51   0.17
  68.200  15433  19681   9.50   4.90    0.05000    9.51   0.22
  68.000  15304  19577   9.50   4.90    0.04521    9.51   0.19
