# $Id: 31-011-1.tab,v 1.2 2005/04/08 20:56:46 colby Exp $
# 31-011-1.tab
# created by learntune/rcvr12/29dec96/maketab.csh
# junction biased at tsysmin; search range is asymmetric
#	so that the gain peak is covered
# 
# TUNINGMODE: ymax (bias at highest y-factor)
#
#|loGHz   |t    |v     |i    |dvm  |dvp  |
#|r       |r    |r     |r    |r    |r    |
  113.000  4.00  2.621  26.8  -.25  +.10  # Trcvr = 38.51 
  113.000  4.50  2.579  26.6  -.25  +.10  # Trcvr = 36.94
  113.000  5.01  2.541  27.3  -.25  +.10  # Trcvr = 44.75
  113.000  5.50  2.441  26.8  -.25  +.10  # Trcvr = 43.90
  113.000  6.00  2.344  27.1  -.25  +.10  # Trcvr = 53.69
  113.000  6.51  2.209  26.7  -.25  +.10  # Trcvr = 61.28
  113.000  7.00  2.051  26.7  -.25  +.10  # Trcvr = 77.25
   
  108.000  3.99  2.617  26.4  -.25  +.10  # Trcvr = 42.93
  108.000  4.51  2.584  26.6  -.25  +.10  # Trcvr = 43.03
  108.000  5.00  2.520  26.6  -.25  +.10  # Trcvr = 50.40
  108.000  5.50  2.444  26.6  -.25  +.10  # Trcvr = 60.20
  108.000  6.00  2.343  26.6  -.25  +.10  # Trcvr = 64.24
  108.000  6.51  2.210  26.4  -.25  +.10  # Trcvr = 73.70
  108.000  7.00  2.033  25.8  -.25  +.10  # Trcvr = 91.01
   
  103.000  3.98  2.619  26.5  -.25  +.10  # Trcvr = 37.01
  103.000  4.51  2.581  26.6  -.25  +.10  # Trcvr = 40.10
  103.000  5.00  2.518  26.6  -.25  +.10  # Trcvr = 42.75
  103.000  5.50  2.445  26.6  -.25  +.10  # Trcvr = 47.93
  103.000  6.00  2.348  26.5  -.25  +.10  # Trcvr = 54.79
  103.000  6.50  2.190  25.9  -.25  +.10  # Trcvr = 66.73
  103.000  7.01  2.036  25.6  -.25  +.10  # Trcvr = 83.52
   
   98.000  3.99  2.636  27.1  -.25  +.10  # Trcvr = 36.00
   98.000  4.51  2.600  27.2  -.25  +.10  # Trcvr = 37.45
   98.000  5.00  2.540  27.1  -.25  +.10  # Trcvr = 39.72
   98.000  5.50  2.463  27.1  -.25  +.10  # Trcvr = 45.41
   98.000  6.00  2.366  27.0  -.25  +.10  # Trcvr = 49.48
   98.000  6.50  2.229  26.6  -.25  +.10  # Trcvr = 57.62
   98.000  7.01  2.056  25.8  -.25  +.10  # Trcvr = 75.22
   
   93.000  3.98  2.656  27.5  -.25  +.10  # Trcvr = 33.55
   93.000  4.50  2.620  27.7  -.25  +.10  # Trcvr = 35.19
   93.000  5.00  2.560  27.6  -.25  +.10  # Trcvr = 35.54
   93.000  5.51  2.480  27.6  -.25  +.10  # Trcvr = 36.50
   93.000  6.00  2.387  27.7  -.25  +.10  # Trcvr = 44.53
   93.000  6.50  2.251  27.2  -.25  +.10  # Trcvr = 48.05
   93.000  7.00  2.071  26.5  -.25  +.10  # Trcvr = 58.84
  
   88.000  3.98  2.676  27.7  -.25  +.10  # Trcvr = 31.62
   88.000  4.50  2.640  27.9  -.25  +.10  # Trcvr = 32.61
   88.000  5.00  2.580  28.1  -.25  +.10  # Trcvr = 35.94
   88.000  5.50  2.504  28.2  -.25  +.10  # Trcvr = 36.55
   88.000  5.99  2.403  28.3  -.25  +.10  # Trcvr = 38.29
   88.000  6.50  2.291  28.5  -.25  +.10  # Trcvr = 43.13
   88.000  7.01  2.110  27.8  -.25  +.10  # Trcvr = 48.14
   
   83.000  4.00  2.676  27.4  -.25  +.10  # Trcvr = 31.25
   83.000  4.49  2.641  27.6  -.25  +.10  # Trcvr = 34.97
   83.000  5.00  2.578  27.7  -.25  +.10  # Trcvr = 35.53
   83.000  5.50  2.503  28.0  -.25  +.10  # Trcvr = 41.58
   83.000  6.00  2.406  28.1  -.25  +.10  # Trcvr = 44.68
   83.000  6.51  2.284  28.3  -.25  +.10  # Trcvr = 47.32
   83.000  7.01  2.112  27.8  -.25  +.10  # Trcvr = 63.18
   
   78.000  4.00  2.677  27.6  -.25  +.10  # Trcvr = 32.48
   78.000  4.50  2.641  27.8  -.25  +.10  # Trcvr = 37.00
   78.000  5.00  2.578  27.8  -.25  +.10  # Trcvr = 39.33
   78.000  5.51  2.500  27.9  -.25  +.10  # Trcvr = 42.82
   78.000  6.00  2.405  28.0  -.25  +.10  # Trcvr = 50.41
   78.000  6.50  2.287  28.1  -.25  +.10  # Trcvr = 65.13
   78.000  7.01  2.108  27.3  -.25  +.10  # Trcvr = 73.77
   
   73.000  3.99  2.697  28.2  -.25  +.10  # Trcvr = 50.10
   73.000  4.49  2.657  28.3  -.25  +.10  # Trcvr = 51.91
   73.000  5.00  2.596  28.4  -.25  +.10  # Trcvr = 53.43
   73.000  5.51  2.522  28.4  -.25  +.10  # Trcvr = 59.47
   73.000  6.00  2.405  28.0  -.25  +.10  # Trcvr = 65.35
   73.000  6.51  2.286  28.0  -.25  +.10  # Trcvr = 65.85
   73.000  7.01  2.111  27.2  -.25  +.10  # Trcvr = 82.90
   
   68.000  3.98  2.638  26.9  -.25  +.10  # Trcvr = 37.38
   68.000  4.51  2.579  26.5  -.25  +.10  # Trcvr = 40.00
   68.000  5.01  2.521  26.5  -.25  +.10  # Trcvr = 43.71
   68.000  5.50  2.444  26.6  -.25  +.10  # Trcvr = 49.50
   68.000  6.01  2.345  26.4  -.25  +.10  # Trcvr = 55.87
   68.000  6.51  2.207  26.1  -.25  +.10  # Trcvr = 68.38
   68.000  7.01  2.051  25.8  -.25  +.10  # Trcvr = 86.18
