# $Id: 31-011-3.tab,v 1.3 2006/08/28 19:36:46 colby Exp $
# 31-011-3.tab
# tested in dewar 8 on 16sep97
# use 1st photon peak below the gap from 115 down to about 95,
#	then switch to the 2nd peak below the gap
# tuning curve revised 18aug06; use 2nd peak below the gap
#       at freqs below 100 GHz, not 95
#
#TUNINGMODE: ymax
#
#|loGHz   |t    |v     |i    |dvm  |dvp  |
#|r       |r    |r     |r    |r    |r    |
110.000    3.40   2.408  30.2  -.15  +.15   peak = 0.4860
110.000    4.00   2.379  31.3  -.15  +.15   peak = 0.4707
110.000    4.50   2.335  33.2  -.15  +.15   peak = 0.4564
110.000    5.01   2.273  36.0  -.15  +.15   peak = 0.4388
110.000    5.50   2.197  39.6  -.15  +.15   peak = 0.4120
110.000    5.99   2.079  43.9  -.15  +.15   peak = 0.3751
110.000    6.50   1.942  48.8  -.15  +.15   peak = 0.3213
110.000    7.00   1.780  54.3  -.15  +.15   peak = 0.2544
110.000    7.51   1.568  59.7  -.15  +.15   peak = 0.1810
# 
100.001    3.40   2.508  36.5  -.15  +.15   peak = 0.2466
100.001    4.00   2.492  38.0  -.15  +.15   peak = 0.2422
100.001    4.50   2.447  40.0  -.15  +.15   peak = 0.2397
100.001    5.00   2.372  41.9  -.15  +.15   peak = 0.2356
100.001    5.51   2.293  45.6  -.15  +.15   peak = 0.2378
100.001    6.00   2.174  49.5  -.15  +.15   peak = 0.2395
100.001    6.49   2.038  54.6  -.15  +.15   peak = 0.2442
100.001    7.00   1.859  59.5  -.15  +.15   peak = 0.2380
100.001    7.51   1.624  63.8  -.15  +.15   peak = 0.2056
# 
100.000    3.39   2.238  23.2  -.15  +.15   peak = 0.2186
100.000    4.00   2.200  24.5  -.15  +.15   peak = 0.2140
100.000    4.50   2.158  26.5  -.15  +.15   peak = 0.2101
100.000    5.00   2.079  29.1  -.15  +.15   peak = 0.2048
100.000    5.50   1.983  32.5  -.15  +.15   peak = 0.1988
100.000    6.01   1.883  44.0  -.15  +.15   peak = 0.2650
100.000    6.50   1.784  48.8  -.15  +.15   peak = 0.2091
100.000    7.01   1.605  54.0  -.15  +.15   peak = 0.1621
100.000    7.50   1.471  58.4  -.15  +.15   peak = 0.1191
# 
 70.000    3.40   2.393  30.4  -.15  +.15   peak = 0.7143
 70.000    4.00   2.354  31.3  -.15  +.15   peak = 0.5901
 70.000    4.50   2.292  32.5  -.15  +.15   peak = 0.4871
 70.000    5.00   2.238  35.7  -.15  +.15   peak = 0.4120
 70.000    5.50   2.156  39.6  -.15  +.15   peak = 0.3323
 70.000    6.01   2.039  44.0  -.15  +.15   peak = 0.2650
 70.000    6.50   1.884  48.8  -.15  +.15   peak = 0.2091
 70.000    7.01   1.705  54.0  -.15  +.15   peak = 0.1621
 70.000    7.50   1.471  58.4  -.15  +.15   peak = 0.1191
