# $Id: 31-011-5.tab,v 1.2 2005/10/05 06:54:05 colby Exp $
# 31-011-5.tab
# tested in dewar 9, 03nov97
#
# nominal biases at 2.4 mV bias
#	114		26
#	106+	38		2nd peak
#   106-	32		1st peak
#	 98+	30		1st peak
#	 98-	38		2nd peak
#	 79+	28		2nd peak
#	 79-	28		1st peak
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
114.000  3.69   1.986  23.4  -.15  +.15 #  peak = 0.5070
114.000  4.48   1.935  24.9  -.15  +.15 #  peak = 0.4579
114.000  4.99   1.896  26.6  -.15  +.15 #  peak = 0.4290
114.000  5.49   1.848  28.8  -.15  +.15 #  peak = 0.3939
114.000  6.00   1.742  30.8  -.15  +.15 #  peak = 0.3199
114.000  6.51   1.596  32.8  -.15  +.15 #  peak = 0.2109
114.000  7.02   1.740  42.0  -.15  +.15 #  peak = 0.1150
#
106.001  3.67   2.015  21.7  -.15  +.15 #  peak = 0.2783
106.001  4.48   1.957  23.6  -.15  +.15 #  peak = 0.2713
106.001  5.00   1.888  25.2  -.15  +.15 #  peak = 0.2689
106.001  5.48   1.810  27.6  -.15  +.15 #  peak = 0.2687
106.001  6.00   1.692  30.2  -.15  +.15 #  peak = 0.2531
106.001  6.50   1.554  33.2  -.15  +.15 #  peak = 0.2120
106.001  7.02   1.399  36.4  -.15  +.15 #  peak = 0.1451
# 
# breakpoint - switch to 1st peak
#
106.000  3.70   2.421  32.5  -.15  +.15 #  peak = 0.7733
106.000  4.50   2.343  33.6  -.15  +.15 #  peak = 0.7551
106.000  5.00   2.282  35.0  -.15  +.15 #  peak = 0.7210
106.000  5.50   2.188  36.5  -.15  +.15 #  peak = 0.6674
106.000  6.00   2.069  38.6  -.15  +.15 #  peak = 0.5798
106.000  6.50   1.932  41.3  -.15  +.15 #  peak = 0.4644
106.000  7.00   1.739  43.7  -.15  +.15 #  peak = 0.3256
#
 98.001  3.71   2.488  34.4  -.15  +.15 #  peak = 0.2384
 98.001  4.50   2.398  34.8  -.15  +.15 #  peak = 0.2336
 98.001  5.00   2.344  36.4  -.15  +.15 #  peak = 0.2306
 98.001  5.50   2.255  38.1  -.15  +.15 #  peak = 0.2289
 98.001  6.00   2.137  40.5  -.15  +.15 #  peak = 0.2241
 98.001  6.50   1.993  43.3  -.15  +.15 #  peak = 0.2180
 98.001  7.00   1.787  45.3  -.15  +.15 #  peak = 0.2048
#
# breakpoint - switch to 2nd peak
#
 98.000  3.70   2.121  23.3  -.15  +.15 #  peak = 0.2137
 98.000  4.50   2.051  25.0  -.15  +.15 #  peak = 0.2057
 98.000  5.00   1.983  26.5  -.15  +.15 #  peak = 0.1961
 98.000  5.51   1.897  28.6  -.15  +.15 #  peak = 0.1860
 98.000  6.01   1.780  31.1  -.15  +.15 #  peak = 0.1730
 98.000  6.50   1.631  34.0  -.15  +.15 #  peak = 0.1529
 98.000  7.00   1.439  36.6  -.15  +.15 #  peak = 0.1199
#
 79.001  3.70   2.198  22.3  -.15  +.15 #  peak = 0.2141
 79.001  4.48   2.132  24.0  -.15  +.15 #  peak = 0.2020
 79.001  5.00   2.062  25.6  -.15  +.15 #  peak = 0.1928
 79.001  5.49   1.982  28.0  -.15  +.15 #  peak = 0.1895
 79.001  5.99   1.867  30.6  -.15  +.15 #  peak = 0.1779
 79.001  6.51   1.730  33.8  -.15  +.15 #  peak = 0.1581
 79.001  7.02   1.545  36.8  -.15  +.15 #  peak = 0.1276
#
# breakpoint - from 79-69 use 1st peak
#
 79.000  3.70   2.461  29.5  -.15  +.15 #  peak = 0.2757
 79.000  4.48   2.394  31.1  -.15  +.15 #  peak = 0.2755
 79.000  5.00   2.335  32.8  -.15  +.15 #  peak = 0.2682
 79.000  5.49   2.243  34.9  -.15  +.15 #  peak = 0.2618
 79.000  5.99   2.139  37.9  -.15  +.15 #  peak = 0.2484
 79.000  6.51   1.992  41.1  -.15  +.15 #  peak = 0.2344
 79.000  7.02   1.808  44.5  -.15  +.15 #  peak = 0.2180
#
 69.000  3.69   2.456  39.6  -.15  +.15 #  peak = 0.7752
 69.000  4.00   2.439  40.3  -.15  +.15 #  peak = 0.7653
 69.000  4.50   2.381  41.3  -.15  +.15 #  peak = 0.7389
 69.000  5.01   2.304  42.6  -.15  +.15 #  peak = 0.6883
 69.000  5.49   2.194  44.2  -.15  +.15 #  peak = 0.6281
 69.000  5.99   2.069  46.3  -.15  +.15 #  peak = 0.5401
 69.000  6.49   1.904  48.3  -.15  +.15 #  peak = 0.4400
 69.000  6.99   1.688  49.9  -.15  +.15 #  peak = 0.2931
 69.000  7.50   1.415  50.0  -.15  +.15 #  peak = 0.1352
