# $Id: 31-011-6.tab,v 1.2 2005/10/05 06:54:05 colby Exp $
# 31-011-6.tab
# measuredin dewar 4
# data in learntune/17sep97b
# 
#TUNINGMODE: ymax
# up to 95 GHz, use 2nd gain peak
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
 70.000  3.50   2.251  38.4  -.15  +.15 #  peak = 0.3368
 70.000  4.00   2.215  39.4  -.15  +.15 #  peak = 0.3422
 70.000  4.50   2.193  41.2  -.15  +.15 #  peak = 0.3237
 70.000  5.00   2.134  43.5  -.15  +.15 #  peak = 0.2924
 70.000  5.49   2.061  46.7  -.15  +.15 #  peak = 0.2482
 70.000  6.00   1.979  50.4  -.15  +.15 #  peak = 0.2115
 70.000  6.51   1.860  54.8  -.15  +.15 #  peak = 0.1713
 70.000  7.00   1.701  59.2  -.15  +.15 #  peak = 0.1352
 70.000  7.50   1.507  62.8  -.15  +.15 #  peak = 0.1021
# 
 94.999  3.49   2.158  26.7  -.15  +.15 #  peak = 0.1511
 94.999  4.01   2.141  28.2  -.15  +.15 #  peak = 0.1507
 94.999  4.50   2.099  29.8  -.15  +.15 #  peak = 0.1484
 94.999  4.99   2.038  32.3  -.15  +.15 #  peak = 0.1454
# 94.999  5.48   2.058  32.6  -.15  +.15 #  peak = 0.1441
 94.999  5.99   1.863  39.5  -.15  +.15 #  peak = 0.1300
# 94.999  6.51   2.074  60.7  -.15  +.15 #  peak = 0.1314
# 94.999  6.99   1.920  65.6  -.15  +.15 #  peak = 0.1310
 94.999  7.53   1.736  73.5  -.15  +.15 #  peak = 0.1423
# 
# above 95 GHz, switch to 1st gain peak
#
 95.000  3.49   2.487  41.1  -.15  +.15 #  peak = 0.1497
 95.000  4.01   2.472  42.2  -.15  +.15 #  peak = 0.1484
 95.000  4.50   2.429  44.4  -.15  +.15 #  peak = 0.1450
 95.000  4.99   2.372  47.0  -.15  +.15 #  peak = 0.1433
 95.000  5.48   2.390  46.5  -.15  +.15 #  peak = 0.1432
 95.000  5.99   2.192  55.2  -.15  +.15 #  peak = 0.1291
 95.000  6.51   2.074  60.7  -.15  +.15 #  peak = 0.1314
 95.000  6.99   1.920  65.6  -.15  +.15 #  peak = 0.1310
 95.000  7.53   1.736  73.5  -.15  +.15 #  peak = 0.1423
#
# 110.000  3.54   2.328  27.6  -.15  +.15   peak = 0.4201
# 110.000  4.01   2.308  28.8  -.15  +.15   peak = 0.4087
# 110.000  4.50   2.271  30.6  -.15  +.15   peak = 0.3930
# 110.000  5.00   2.213  32.9  -.15  +.15   peak = 0.3754
# 110.000  5.51   2.130  36.0  -.15  +.15   peak = 0.3539
# 110.000  6.00   2.030  39.9  -.15  +.15   peak = 0.3239
# 110.000  6.50   1.915  44.7  -.15  +.15   peak = 0.2824
# 110.000  7.01   1.757  49.8  -.15  +.15   peak = 0.2312
# 110.000  7.50   1.579  55.2  -.15  +.15   peak = 0.1731
#
# using 110 GHz data above gave 80 K noise temps; use more bias
# 
112.000  3.49   2.344  34.5  -.15  +.15 #  peak = 1.2888
112.000  4.00   2.326  35.7  -.15  +.15 #  peak = 1.2573
112.000  4.51   2.288  37.2  -.15  +.15 #  peak = 1.2018
112.000  5.00   2.224  39.5  -.15  +.15 #  peak = 1.1256
112.000  5.49   2.171  42.5  -.15  +.15 #  peak = 1.0164
112.000  6.00   2.069  46.1  -.15  +.15 #  peak = 0.8799
112.000  6.51   1.952  50.4  -.15  +.15 #  peak = 0.7016
112.000  7.00   1.797  55.1  -.15  +.15 #  peak = 0.4965
112.000  7.50   1.621  60.0  -.15  +.15 #  peak = 0.3100
#
# this is fake 115 data - the idea is to lower bias current a bit
115.000  3.49   2.344  32.5  -.15  +.15 #  peak = 1.2888
115.000  4.00   2.326  33.7  -.15  +.15 #  peak = 1.2573
115.000  4.51   2.288  35.2  -.15  +.15 #  peak = 1.2018
115.000  5.00   2.224  37.5  -.15  +.15 #  peak = 1.1256
115.000  5.49   2.171  40.5  -.15  +.15 #  peak = 1.0164
115.000  6.00   2.069  44.1  -.15  +.15 #  peak = 0.8799
115.000  6.51   1.952  48.4  -.15  +.15 #  peak = 0.7016
115.000  7.00   1.797  53.1  -.15  +.15 #  peak = 0.4965
115.000  7.50   1.621  58.0  -.15  +.15 #  peak = 0.3100
