# $Id: 31-011-7.tab,v 1.2 2005/10/05 06:54:05 colby Exp $
# 31-011-7.tab
# created 30mar97 using learntune/30mar97/maketab.csh
# bias at 25 uA across the band
#
# TUNINGMODE: ymax (bias at highest y-factor)
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
114.000  3.60   2.531  25.3  -.15  +.15 #  peak = 1.1153
114.000  4.00   2.509  25.4  -.15  +.15 #  peak = 1.0825
114.000  4.49   2.472  25.7  -.15  +.15 #  peak = 1.0300
114.000  5.00   2.424  25.9  -.15  +.15 #  peak = 0.9600
114.000  5.50   2.346  26.0  -.15  +.15 #  peak = 0.8677
114.000  6.01   2.241  26.2  -.15  +.15 #  peak = 0.7577
114.000  6.49   2.112  26.2  -.15  +.15 #  peak = 0.6376
114.000  6.98   1.950  26.0  -.15  +.15 #  peak = 0.5096
114.000  7.50   1.721  25.4  -.15  +.15 #  peak = 0.3622
# 
109.000  3.60   2.548  25.4  -.15  +.15 #  peak = 0.3158
109.000  4.01   2.526  25.5  -.15  +.15 #  peak = 0.3028
109.000  4.50   2.489  25.5  -.15  +.15 #  peak = 0.2789
109.000  4.99   2.424  25.6  -.15  +.15 #  peak = 0.2512
109.000  5.49   2.350  25.7  -.15  +.15 #  peak = 0.2195
109.000  6.01   2.250  25.8  -.15  +.15 #  peak = 0.1875
109.000  6.50   2.116  25.8  -.15  +.15 #  peak = 0.1591
109.000  6.99   1.947  25.5  -.15  +.15 #  peak = 0.1319
109.000  7.50   1.735  25.1  -.15  +.15 #  peak = 0.1056
#
 89.000  3.59   2.637  25.2  -.15  +.15 #  peak = 1.7596
 89.000  3.99   2.617  25.7  -.15  +.15 #  peak = 1.6670
 89.000  4.49   2.582  25.6  -.15  +.15 #  peak = 1.5398
 89.000  5.00   2.522  25.7  -.15  +.15 #  peak = 1.3891
 89.000  5.50   2.444  25.8  -.15  +.15 #  peak = 1.2183
 89.000  6.02   2.346  25.8  -.15  +.15 #  peak = 1.0370
 89.000  6.50   2.208  25.3  -.15  +.15 #  peak = 0.8474
 89.000  6.99   2.032  25.6  -.15  +.15 #  peak = 0.6498
 89.000  7.49   1.818  25.2  -.15  +.15 #  peak = 0.4546
#
 69.000  3.61   2.623  27.0  -.15  +.15 #  peak = 0.7902
 69.000  4.00   2.596  27.9  -.15  +.15 #  peak = 0.7590
 69.000  4.51   2.564  27.8  -.15  +.15 #  peak = 0.7052
 69.000  5.00   2.501  27.6  -.15  +.15 #  peak = 0.6350
 69.000  5.50   2.425  27.4  -.15  +.15 #  peak = 0.5502
 69.000  6.01   2.318  26.8  -.15  +.15 #  peak = 0.4578
 69.000  6.49   2.191  26.3  -.15  +.15 #  peak = 0.3602
 69.000  6.98   2.022  25.5  -.15  +.15 #  peak = 0.2738
 69.000  7.50   1.821  25.5  -.15  +.15 #  peak = 0.1948
# 
