# $Id: 31-011-9.tab,v 1.3 2005/06/24 02:19:42 colby Exp $
# 31-011-9.tab
# created 09apr97 using learntune/08apr97/maketab.csh
# using dewar 5
#
# TUNINGMODE: ymax (bias at highest y-factor)
#
# incremented all mixer currents by 1.5 uA in this block,
#  28jun02; this seems to improve the gain
#
#|loGHz   |t    |v     |i    |dvm  |dvp  |
#|r       |r    |r     |r    |r    |r    |
  114.000  3.20  2.535  24.7  -.15  +.15   # peak = 0.3418
  114.000  3.51  2.533  24.8  -.15  +.15   # peak = 0.3366
  114.000  4.00  2.507  24.9  -.15  +.15   # peak = 0.3228
  114.000  4.50  2.477  25.1  -.15  +.15   # peak = 0.3059
  114.000  5.00  2.419  25.2  -.15  +.15   # peak = 0.2874
  114.000  5.50  2.336  25.3  -.15  +.15   # peak = 0.2671
  114.000  6.00  2.231  25.3  -.15  +.15   # peak = 0.2448
  114.000  6.50  2.105  25.4  -.15  +.15   # peak = 0.2201
  114.000  7.01  1.935  25.3  -.15  +.15   # peak = 0.2020
  114.000  7.50  1.730  25.9  -.15  +.15   # peak = 0.1673
# 
  109.000  3.20  2.584  24.0  -.15  +.15   # peak = 0.3691
  109.000  3.50  2.570  24.0  -.15  +.15   # peak = 0.3630
  109.000  4.00  2.556  24.1  -.15  +.15   # peak = 0.3481
  109.000  4.50  2.512  24.2  -.15  +.15   # peak = 0.3291
  109.000  5.00  2.456  24.3  -.15  +.15   # peak = 0.3054
  109.000  5.50  2.378  24.3  -.15  +.15   # peak = 0.2789
  109.000  6.00  2.271  24.4  -.15  +.15   # peak = 0.2483
  109.000  6.50  2.140  24.4  -.15  +.15   # peak = 0.2166
  109.000  7.00  1.968  24.2  -.15  +.15   # peak = 0.1844
  109.000  7.50  1.752  23.8  -.15  +.15   # peak = 0.1513
# 
   99.000  3.20  2.633  25.4  -.15  +.15   # peak = 0.4793
   99.000  3.50  2.623  25.4  -.15  +.15   # peak = 0.4708
   99.000  4.00  2.602  25.5  -.15  +.15   # peak = 0.4525
   99.000  4.50  2.568  25.5  -.15  +.15   # peak = 0.4257
   99.000  5.00  2.508  25.6  -.15  +.15   # peak = 0.3924
   99.000  5.50  2.414  25.5  -.15  +.15   # peak = 0.3522
   99.000  5.99  2.317  25.5  -.15  +.15   # peak = 0.3088
   99.000  6.50  2.178  25.4  -.15  +.15   # peak = 0.2621
   99.000  7.00  2.004  25.0  -.15  +.15   # peak = 0.2134
   99.000  7.50  1.788  24.4  -.15  +.15   # peak = 0.1638
#   
   89.000  3.19  2.629  25.0  -.15  +.15   # peak = 0.6424
   89.000  3.50  2.621  25.0  -.15  +.15   # peak = 0.6337
   89.000  4.00  2.594  25.0  -.15  +.15   # peak = 0.6124
   89.000  4.50  2.557  25.2  -.15  +.15   # peak = 0.5854
   89.000  5.00  2.504  25.4  -.15  +.15   # peak = 0.5514
   89.000  5.50  2.427  25.6  -.15  +.15   # peak = 0.5078
   89.000  6.00  2.319  25.6  -.15  +.15   # peak = 0.4570
   89.000  6.50  2.190  25.7  -.15  +.15   # peak = 0.3999
   89.000  7.00  2.026  25.6  -.15  +.15   # peak = 0.3317
   89.000  7.50  1.808  25.0  -.15  +.15   # peak = 0.2533
#  
   79.000  3.21  2.661  26.1  -.15  +.15   # peak = 0.5897
   79.000  3.50  2.656  26.1  -.15  +.15   # peak = 0.5773
   79.000  4.00  2.635  26.3  -.15  +.15   # peak = 0.5473
   79.000  4.50  2.593  26.3  -.15  +.15   # peak = 0.5086
   79.000  5.00  2.534  26.5  -.15  +.15   # peak = 0.4616
   79.000  5.50  2.455  26.5  -.15  +.15   # peak = 0.4100
   79.000  6.00  2.346  26.5  -.15  +.15   # peak = 0.3564
   79.000  6.51  2.221  26.6  -.15  +.15   # peak = 0.3044
   79.000  7.00  2.056  26.4  -.15  +.15   # peak = 0.2541
   79.000  7.50  1.837  25.8  -.15  +.15   # peak = 0.2015
#  
   69.000  3.20  2.620  24.7  -.15  +.15   # peak = 0.3854
   69.000  3.49  2.611  24.7  -.15  +.15   # peak = 0.3780
   69.000  4.00  2.595  24.9  -.15  +.15   # peak = 0.3622
   69.000  4.49  2.558  24.9  -.15  +.15   # peak = 0.3403
   69.000  5.01  2.494  25.0  -.15  +.15   # peak = 0.3132
   69.000  5.50  2.420  25.1  -.15  +.15   # peak = 0.2805
   69.000  6.00  2.308  25.1  -.15  +.15   # peak = 0.2460
   69.000  6.50  2.174  24.9  -.15  +.15   # peak = 0.2096
   69.000  7.00  2.005  24.8  -.15  +.15   # peak = 0.1741
   69.000  7.50  1.780  24.2  -.15  +.15   # peak = 0.1384
