# $Id: 31-012-6.tab,v 1.3 2005/10/05 06:54:05 colby Exp $
# 31-012-6.tab
# this is a band D mixer patterned after 3 mm mixer blocks;
#	it needs separate circular to rectangular transition and
#	also a separate bias tee
# tested in dewar 5 on 15oct97 with HEMT 16
# data in learntune/14oct97
# almost unusable above 268 GHz due to bird beaks
# 
#TUNINGMODE: ymax
#
# TUNINGMODE: ymax (bias at highest y-factor)
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
208.000  3.51   2.114  20.5  -.25  +.25 #  peak = 0.1326
208.000  4.00   2.115  21.1  -.25  +.25 #  peak = 0.1251
208.000  4.50   2.057  21.6  -.25  +.25 #  peak = 0.1195
208.000  5.01   2.027  22.6  -.25  +.25 #  peak = 0.1125
208.000  5.51   1.968  23.7  -.25  +.25 #  peak = 0.1032
208.000  6.00   1.882  24.8  -.25  +.25 #  peak = 0.0924
208.000  6.50   1.734  25.7  -.25  +.25 #  peak = 0.0772
208.000  7.00   1.589  26.7  -.25  +.25 #  peak = 0.0615
# 
240.000  3.50   2.113  28.6  -.25  +.25 #  peak = 0.1205
240.000  4.00   2.082  28.6  -.25  +.25 #  peak = 0.1169
240.000  4.50   2.053  29.0  -.25  +.25 #  peak = 0.1107
240.000  5.00   1.996  29.2  -.25  +.25 #  peak = 0.1024
240.000  5.50   1.966  30.1  -.25  +.25 #  peak = 0.0942
240.000  6.00   1.880  30.6  -.25  +.25 #  peak = 0.0852
240.000  6.50   1.763  30.9  -.25  +.25 #  peak = 0.0717
240.000  7.00   1.559  30.1  -.25  +.25 #  peak = 0.0599
# 
263.000  3.51   2.023  24.2  -.25  +.25 #  peak = 0.3399
263.000  4.00   1.999  24.6  -.25  +.25 #  peak = 0.3259
263.000  4.50   1.968  25.0  -.25  +.25 #  peak = 0.3078
263.000  5.01   1.911  25.6  -.25  +.25 #  peak = 0.2792
263.000  5.50   1.822  26.2  -.25  +.25 #  peak = 0.2434
263.000  6.01   1.852  28.1  -.25  +.25 #  peak = 0.2048
263.000  6.50   1.731  28.9  -.25  +.25 #  peak = 0.1598
263.000  7.00   1.674  30.6  -.25  +.25 #  peak = 0.1107
# 
268.000  3.50   1.853  16.3  -.25  +.25 #  peak = 0.1167
268.000  4.00   1.824  16.7  -.25  +.25 #  peak = 0.1137
268.000  4.50   1.791  17.4  -.25  +.25 #  peak = 0.1123
268.000  5.00   1.734  18.1  -.25  +.25 #  peak = 0.1077
268.000  5.50   1.676  19.1  -.25  +.25 #  peak = 0.1005
268.000  6.00   1.617  20.5  -.25  +.25 #  peak = 0.0885
268.000  6.50   1.620  22.8  -.25  +.25 #  peak = 0.0765
268.000  7.00   1.503  24.2  -.25  +.25 #  peak = 0.0605
