# $Id: 31-015-2.tab,v 1.3 2006/07/11 03:26:55 colby Exp $
# 31-015-2.tab
# 1mm mixer measured in dewar 4, 10jul06
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
220.000  3.50   2.35  48.0  -.20  +.20
220.000  4.00   2.30  48.0  -.20  +.20
#
240.000  3.50   2.20  45.0  -.20  +.20
240.000  4.00   2.15  45.0  -.20  +.20
#
260.000  3.50   2.20  45.0  -.20  +.20
260.000  4.00   2.15  45.0  -.20  +.20
#
268.000  3.50   2.20  35.0  -.20  +.20
268.000  4.00   2.15  35.0  -.20  +.20
