# $Id: 31-015-2K1.tab,v 1.3 2006/08/28 19:36:46 colby Exp $
# 31-015-2K1.tab
# tested 28nov00
#
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
205.500  3.62   2.249  41.2  -.15  +.15 #  peak = 0.3128
205.500  4.50   2.166  43.0  -.15  +.15 #  peak = 0.2917
205.500  4.99   2.106  44.8  -.15  +.15 #  peak = 0.2710
205.500  5.50   2.010  46.8  -.15  +.15 #  peak = 0.2403
205.500  6.00   1.895  49.2  -.15  +.15 #  peak = 0.1991
205.500  6.49   1.757  51.9  -.15  +.15 #  peak = 0.1473
205.500  7.00   1.618  55.1  -.15  +.15 #  peak = 0.0932
205.500  7.50   1.385  55.9  -.15  +.15 #  peak = 0.0513
#
215.000  3.61   2.377  52.5  -.15  +.15 #  peak = 0.7515
215.000  4.50   2.281  54.1  -.15  +.15 #  peak = 0.6388
215.000  5.00   2.203  55.5  -.15  +.15 #  peak = 0.5552
215.000  5.51   2.086  56.8  -.15  +.15 #  peak = 0.4644
215.000  6.00   1.969  58.6  -.15  +.15 #  peak = 0.3636
215.000  6.50   1.812  60.1  -.15  +.15 #  peak = 0.2580
215.000  6.99   1.637  61.3  -.15  +.15 #  peak = 0.1610
215.000  7.50   1.404  60.4  -.15  +.15 #  peak = 0.0878
#
250.000  3.60   2.106  47.5  -.15  +.15 #  peak = 0.8939
250.000  4.50   2.085  49.6  -.15  +.15 #  peak = 0.7863
250.000  5.00   2.010  50.6  -.15  +.15 #  peak = 0.6940
250.000  5.50   1.950  52.5  -.15  +.15 #  peak = 0.5794
250.000  6.00   1.871  54.7  -.15  +.15 #  peak = 0.4447
250.000  6.51   1.772  57.2  -.15  +.15 #  peak = 0.3041
250.000  7.00   1.597  58.4  -.15  +.15 #  peak = 0.1780
250.000  7.50   1.387  58.1  -.15  +.15 #  peak = 0.0917
# 
260.000  3.61   2.05  38.0  -.15  +.15 #  peak = 0.8562
260.000  4.49   2.00  38.0  -.15  +.15 #  peak = 0.7282
