# $Id: 31-015-2W20.tab,v 1.3 2010/05/10 22:19:59 control Exp $
# 31-015-2W20.tab
# 1mm mixer measured in dewar 12, 11sep06
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
#
220.000  3.50   2.25  42.0  -.20  +.20
220.000  4.00   2.20  42.0  -.20  +.20
220.000  6.00   1.80  42.0  -.20  +.20
#
259.000  3.50   2.15  35.0  -.20  +.20
259.000  4.00   2.10  35.0  -.20  +.20
259.000  6.00   1.80  35.0  -.20  +.20
#
260.000  3.50   2.12  25.0  -.20  +.20
260.000  4.00   2.10  25.0  -.20  +.20
260.000  6.00   1.80  25.0  -.20  +.20
#

