# $Id: 31-015A-7.tab,v 1.2 2005/10/05 06:54:05 colby Exp $
# 31-015A-7.tab
# tested in dewar 9, 03-nov-97
# trouble zone is 260-268 GHz - keep bias at or below 24 uA
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
260.000  3.90   1.98   21.4  -.25  +.25 #  peak = 0.1542
260.000  4.50   1.94   23.5  -.25  +.25 #  peak = 0.1461
260.000  5.00   1.88   25.3  -.25  +.25 #  peak = 0.1371
260.000  5.51   1.80   27.1  -.25  +.25 #  peak = 0.1238
260.000  6.01   1.735  31.0  -.25  +.25 #  peak = 0.1076
260.000  6.50   1.674  35.1  -.25  +.25 #  peak = 0.0863
260.000  7.00   1.560  39.2  -.25  +.25 #  peak = 0.0610
#
256.000  3.87   2.08   25.9  -.25  +.25 #  peak = 0.3331
256.000  4.50   2.028  27.7  -.25  +.25 #  peak = 0.3120
256.000  5.01   1.967  29.6  -.25  +.25 #  peak = 0.2869
256.000  5.50   1.91   31.8  -.25  +.25 #  peak = 0.2508
256.000  6.00   1.82   35.4  -.25  +.25 #  peak = 0.2052
256.000  6.50   1.704  38.3  -.25  +.25 #  peak = 0.1531
256.000  7.00   1.61   42.9  -.25  +.25 #  peak = 0.0974
# 
220.000  3.87   2.318  29.6  -.25  +.25 #  peak = 0.3428
220.000  4.50   2.233  30.9  -.25  +.25 #  peak = 0.3193
220.000  5.00   2.173  32.8  -.25  +.25 #  peak = 0.2945
220.000  5.50   2.086  35.2  -.25  +.25 #  peak = 0.2616
220.000  6.00   1.936  37.3  -.25  +.25 #  peak = 0.2216
220.000  6.50   1.823  40.7  -.25  +.25 #  peak = 0.1711
220.000  7.00   1.675  44.1  -.25  +.25 #  peak = 0.1184
# 
218.000  3.89   2.262  26.3  -.25  +.25 #  peak = 0.2746
218.000  4.49   2.202  27.9  -.25  +.25 #  peak = 0.2587
218.000  5.00   2.114  29.6  -.25  +.25 #  peak = 0.2398
218.000  5.50   2.027  31.9  -.25  +.25 #  peak = 0.2165
218.000  6.00   1.942  35.1  -.25  +.25 #  peak = 0.1847
218.000  6.50   1.792  38.2  -.25  +.25 #  peak = 0.1456
218.000  7.00   1.646  41.9  -.25  +.25 #  peak = 0.1023
