# $Id: 31-016-1.tab,v 1.2 2005/10/05 06:54:05 colby Exp $
# 31-016-1.tab
# tested in dewar 13 on 28sep97
# uses 2nd gain peak at all freqs, with 50 uA bias
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
 74.000  3.80   2.250  40.7  -.15  +.15 #  peak = 0.4027
 74.000  4.51   2.211  43.6  -.15  +.15 #  peak = 0.3890
 74.000  5.01   2.155  46.4  -.15  +.15 #  peak = 0.3691
 74.000  5.50   2.075  49.9  -.15  +.15 #  peak = 0.3455
 74.000  6.00   1.958  53.8  -.15  +.15 #  peak = 0.3109
 74.000  6.50   1.819  58.4  -.15  +.15 #  peak = 0.2709
 74.000  7.01   1.643  63.0  -.15  +.15 #  peak = 0.2155
# 
114.000  3.80   2.018  39.4  -.15  +.15 #  peak = 0.8365
114.000  4.50   1.979  41.7  -.15  +.15 #  peak = 0.7906
114.000  5.00   1.917  44.0  -.15  +.15 #  peak = 0.7333
114.000  5.50   1.839  47.0  -.15  +.15 #  peak = 0.6460
114.000  6.00   1.730  51.0  -.15  +.15 #  peak = 0.5174
114.000  6.50   1.606  54.0  -.15  +.15 #  peak = 0.3767
114.000  7.00   1.427  56.6  -.15  +.15 #  peak = 0.2230
