# $Id: sisT2.tab,v 1.1 2006/11/30 11:18:56 colby Exp $
#
# This is a special sis table for unit testing
# 
#TUNINGMODE: ymax
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
215.000  3.61   2.411  71.3  -.25  +.25 #  peak = 0.5380
215.000  4.00   2.411  72.4  -.25  +.25 #  peak = 0.4872
215.000  4.50   2.354  73.4  -.25  +.25 #  peak = 0.3965
215.000  5.00   2.295  74.9  -.25  +.25 #  peak = 0.3009
215.000  5.50   2.206  76.1  -.25  +.25 #  peak = 0.2092
215.000  5.99   2.061  76.4  -.25  +.25 #  peak = 0.1360
215.000  6.50   1.910  76.3  -.25  +.25 #  peak = 0.0856
215.000  7.00   1.738  74.9  -.25  +.25 #  peak = 0.0534
215.000  7.50   1.447  69.1  -.25  +.25 #  peak = 0.0334
# 
255.000  3.60   2.178  53.9  -.25  +.25 #  peak = 0.3629
255.000  4.00   2.151  54.2  -.25  +.25 #  peak = 0.3382
255.000  4.50   2.152  55.5  -.25  +.25 #  peak = 0.2980
255.000  5.01   2.059  56.4  -.25  +.25 #  peak = 0.2503
255.000  5.50   2.034  58.4  -.25  +.25 #  peak = 0.1945
255.000  6.00   1.947  59.9  -.25  +.25 #  peak = 0.1332
255.000  6.50   1.709  59.3  -.25  +.25 #  peak = 0.0858
255.000  7.00   1.679  62.5  -.25  +.25 #  peak = 0.0518
255.000  7.50   1.474  61.6  -.25  +.25 #  peak = 0.0283
#
260.000  3.60   2.039  42.1  -.25  +.25 #  peak = 0.1460
260.000  4.00   2.003  42.5  -.25  +.25 #  peak = 0.1369
260.000  4.50   1.976  43.8  -.25  +.25 #  peak = 0.1206
260.000  5.00   1.832  44.2  -.25  +.25 #  peak = 0.1006
260.000  5.50   1.715  45.3  -.25  +.25 #  peak = 0.0835
260.000  6.00   1.710  48.2  -.25  +.25 #  peak = 0.0625
260.000  6.50   1.685  51.3  -.25  +.25 #  peak = 0.0428
260.000  7.00   1.592  54.1  -.25  +.25 #  peak = 0.0302
260.000  7.50   1.417  55.3  -.25  +.25 #  peak = 0.0226
