# IERS table with UT1-UTC and polar motion
# $Id: IERS.tab,v 1.191 2015/03/06 16:16:53 control Exp $
# This table was automatically generated, roughly as follows:
#   wget ftp://maia.usno.navy.mil/ser7/ser7.dat
#   $CARMA/scripts/mk-iers.awk ser7.dat > IERS.tab
# or:
#   curl ftp://maia.usno.navy.mil/ser7/ser7.dat | $CARMA/scripts/mk-iers.awk > IERS.tab
# and placed in $CARMA/conf/catalogs
# This should be updated regularly, in A array weekly
#
# Note that MJD = JD - 2400000.5
#
# UTC (MJD)  UT1-UTC (s)  xpolCalendar (UTC)
#| mjd      |  dut1   | xpolar | ypolar |  calendar    |
#|  r       |   r     |   r    |   r    |     s        |
#| mjd      |   sec   | arcsec | arcsec |  yyyy-Mmm-dd |
#end
57087.00000  -0.53293   0.0046   0.3652   2015-Mar-06
57088.00000  -0.53415   0.0052   0.3668   2015-Mar-07
57089.00000  -0.53543   0.0056   0.3683   2015-Mar-08
57090.00000  -0.53677   0.0061   0.3700   2015-Mar-09
57091.00000  -0.53814   0.0065   0.3716   2015-Mar-10
57092.00000  -0.53951   0.0069   0.3732   2015-Mar-11
57093.00000  -0.54088   0.0073   0.3747   2015-Mar-12
57094.00000  -0.54221   0.0077   0.3762   2015-Mar-13
57095.00000  -0.54354   0.0081   0.3777   2015-Mar-14
57096.00000  -0.54488   0.0086   0.3792   2015-Mar-15
57097.00000  -0.54626   0.0091   0.3807   2015-Mar-16
57098.00000  -0.54774   0.0097   0.3822   2015-Mar-17
57099.00000  -0.54939   0.0102   0.3837   2015-Mar-18
57100.00000  -0.55121   0.0108   0.3851   2015-Mar-19
57101.00000  -0.55314   0.0114   0.3866   2015-Mar-20
57102.00000  -0.55508   0.0120   0.3880   2015-Mar-21
57103.00000  -0.55693   0.0127   0.3894   2015-Mar-22
57104.00000  -0.55865   0.0133   0.3908   2015-Mar-23
57105.00000  -0.56018   0.0140   0.3922   2015-Mar-24
57106.00000  -0.56157   0.0147   0.3935   2015-Mar-25
57107.00000  -0.56285   0.0155   0.3949   2015-Mar-26
57108.00000  -0.56408   0.0163   0.3963   2015-Mar-27
57109.00000  -0.56529   0.0171   0.3976   2015-Mar-28
57110.00000  -0.56653   0.0179   0.3989   2015-Mar-29
57111.00000  -0.56783   0.0187   0.4003   2015-Mar-30
57112.00000  -0.56920   0.0196   0.4016   2015-Mar-31
57113.00000  -0.57066   0.0205   0.4029   2015-Apr-01
57114.00000  -0.57219   0.0214   0.4041   2015-Apr-02
57115.00000  -0.57376   0.0223   0.4054   2015-Apr-03
57116.00000  -0.57535   0.0233   0.4067   2015-Apr-04
