#
# Observing track lengths for 90% SNR, for freq<115. See CARMA memo #41.
# Note A,B,C identical.  D,E take shadowing into account.
# $Id: obstime.lowFreq.tab,v 1.5 2014/05/27 15:01:18 friedel Exp $
#
#| DEC | OBSTIME_A | OBSTIME_B | OBSTIME_C | OBSTIME_D | OBSTIME_E | OBSTIME_SH | OBSTIME_SL | OBSTIME_X | Freq |
#| deg |    hr     |    hr     |   hr      |   hr      |    hr     |    hr      |    hr      |    hr     |  GHz |    
#|  r  |    r      |    r      |   r       |   r       |     r     |     r      |     r      |     r     |  r   |    
 -35     4.31       4.31        4.31          4.01        4.01       4.31         4.31         4.31        100 
 -30     4.31       4.31        4.31          4.01        4.01       4.31         4.31         4.31        100 
 -25     4.71       4.71        4.71          4.51        4.51       4.71         4.71         4.71        100 
 -20     5.27       5.27        5.27          5.01        5.01       5.27         5.27         5.27        100 
 -15     5.51       5.51        5.51          5.51        5.01       5.51         5.51         5.51        100 
 -10     6.01       6.01        6.01          6.01        5.51       6.01         6.01         6.01        100 
  -5     6.51       6.51        6.51          6.51        6.01       6.51         6.51         6.51        100 
   0     6.51       6.51        6.51          6.51        6.01       6.51         6.51         6.51        100 
   5     7.01       7.01        7.01          7.01        6.51       7.01         7.01         7.01        100 
  10     7.51       7.51        7.51          7.51        7.01       7.51         7.51         7.51        100 
  15     7.51       7.51        7.51          7.51        7.01       7.51         7.51         7.51        100 
  20     8.01       8.01        8.01          8.01        7.51       8.01         8.01         8.01        100 
  25     8.50       8.50        8.50          8.01        7.51       8.50         8.50         8.50        100 
  30     8.50       8.50        8.50          8.50        8.01       8.50         8.50         8.50        100 
  35     9.00       9.00        9.00          9.00        8.01       9.00         9.00         9.00        100 
  40     9.50       9.50        9.50          9.00        8.50       9.50         9.50         9.50        100 
  45     10.0       10.0        10.0          9.50        9.00       10.0         10.0         10.0        100 
  50     10.5       10.5        10.5          10.0        9.50       10.5         10.5         10.5        100 
  55     11.5       11.5        11.5          11.0        10.0       11.5         11.5         11.5        100 
  60     12.5       12.5        12.5          12.0        11.0       12.5         12.5         12.5        100 
# these were not computed by my script, just appended here to cover full DEC
# range.  Unlikely to observe sources this high.
  70     12.5       12.5        12.5          12.0        11.0       12.5         12.5         12.5        100 
  80     12.5       12.5        12.5          12.0        11.0       12.5         12.5         12.5        100 
  90     12.5       12.5        12.5          12.0        11.0       12.5         12.5         12.5        100 
